stringsfile version 1
2562
str_no_string NO_STRING!
str_empty_string _
str_yes Yes.
str_no No.
str_blank_string _
str_error_string ERROR!!!ERROR!!!!ERROR!!!ERROR!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!!
str_noone no_one
str_s0 {s0}
str_blank_s1 {!}NOT_USED
str_reg1 {reg1}
str_s50_comma_s51 {s50},_{s51}
str_s50_and_s51 {s50}_and_{s51}
str_s5_s_party {s5}'s_Party
str_given_by_s1_at_s2 {!}NOT_USED
str_given_by_s1_in_wilderness {!}NOT_USED
str_s7_raiders {!}NOT_USED
str_bandits_eliminated_by_another The_troublesome_bandits_have_been_eliminated_by_another_party.
str_msg_battle_won The_battle_is_won!_Press_[Tab]_to_leave...
str_tutorial_map1 {!}NOT_USED
str_change_color_1 {!}NOT_USED
str_change_color_2 {!}NOT_USED
str_change_background {!}NOT_USED
str_change_flag_type {!}NOT_USED
str_change_map_flag_type {!}NOT_USED
str_randomize Randomize
str_sample_banner {!}NOT_USED
str_sample_map_banner {!}NOT_USED
str_number_of_charges {!}NOT_USED
str_change_charge_1 {!}NOT_USED
str_change_charge_1_color {!}NOT_USED
str_change_charge_2 {!}NOT_USED
str_change_charge_2_color {!}NOT_USED
str_change_charge_3 {!}NOT_USED
str_change_charge_3_color {!}NOT_USED
str_change_charge_4 {!}NOT_USED
str_change_charge_4_color {!}NOT_USED
str_change_charge_position {!}NOT_USED
str_choose_position {!}NOT_USED
str_choose_charge {!}NOT_USED
str_choose_background {!}NOT_USED
str_choose_flag_type {!}NOT_USED
str_choose_map_flag_type {!}NOT_USED
str_choose_color {!}NOT_USED
str_accept {!}NOT_USED
str_charge_no_1 {!}NOT_USED
str_charge_no_2 {!}NOT_USED
str_charge_no_3 {!}NOT_USED
str_charge_no_4 {!}NOT_USED
str_change {!}NOT_USED
str_plus {!}NOT_USED
str_minus {!}NOT_USED
str_color_no_1 {!}NOT_USED
str_color_no_2 {!}NOT_USED
str_charge {!}NOT_USED
str_color {!}NOT_USED
str_flip_horizontal {!}NOT_USED
str_flip_vertical {!}NOT_USED
str_hold_fire Hold_Fire
str_blunt_hold_fire Halt!_/_Hold_Fire
str_tutorial_ammo_refilled {!}NOT_USED
str_tutorial_failed {!}NOT_USED
str_tutorial_1_msg_1 {!}NOT_USED
str_tutorial_1_msg_2 {!}NOT_USED
str_tutorial_1_msg_3 {!}NOT_USED
str_tutorial_1_msg_4 {!}NOT_USED
str_tutorial_1_msg_5 {!}NOT_USED
str_tutorial_1_msg_6 {!}NOT_USED
str_tutorial_2_msg_1 {!}NOT_USED
str_tutorial_2_msg_2 {!}NOT_USED
str_tutorial_2_msg_3 {!}NOT_USED
str_tutorial_2_msg_4 {!}NOT_USED
str_tutorial_2_msg_5 {!}NOT_USED
str_tutorial_2_msg_6 {!}NOT_USED
str_tutorial_2_msg_7 {!}NOT_USED
str_tutorial_2_msg_8 {!}NOT_USED
str_tutorial_2_msg_9 {!}NOT_USED
str_tutorial_3_msg_1 {!}NOT_USED
str_tutorial_3_msg_2 {!}NOT_USED
str_tutorial_3_msg_3 {!}NOT_USED
str_tutorial_3_msg_4 {!}NOT_USED
str_tutorial_3_msg_5 {!}NOT_USED
str_tutorial_3_msg_6 {!}NOT_USED
str_tutorial_3_2_msg_1 {!}NOT_USED
str_tutorial_3_2_msg_2 {!}NOT_USED
str_tutorial_3_2_msg_3 {!}NOT_USED
str_tutorial_3_2_msg_4 {!}NOT_USED
str_tutorial_3_2_msg_5 {!}NOT_USED
str_tutorial_4_msg_1 {!}NOT_USED
str_tutorial_4_msg_2 {!}NOT_USED
str_tutorial_4_msg_3 {!}NOT_USED
str_tutorial_4_msg_4 {!}NOT_USED
str_tutorial_4_msg_5 {!}NOT_USED
str_tutorial_4_msg_6 {!}NOT_USED
str_tutorial_4_msg_7 {!}NOT_USED
str_tutorial_5_msg_1 {!}NOT_USED
str_tutorial_5_msg_2 {!}NOT_USED
str_tutorial_5_msg_3 {!}NOT_USED
str_tutorial_5_msg_4 {!}NOT_USED
